更新时间,#genre#
20260730 08:18,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8


央视,#genre#
CCTV1,http://k.061899.xyz/k.php?id=cctv1
CCTV1,http://j.s.bkpcp.top/jj/cctv1
CCTV2,http://k.061899.xyz/k.php?id=cctv2
CCTV2,http://j.s.bkpcp.top/jj/cctv2
CCTV3,http://m.061899.xyz/mg/cctv3
CCTV4,http://m.061899.xyz/mg/cctv4
CCTV4,http://cfss.cc/cdn/dy/CCTV4...flv
CCTV5+,http://m.061899.xyz/mg/cctv5p
CCTV5+,http://120.76.248.139/live/bfgd/4200000246.m3u8
CCTV6,http://m.061899.xyz/mg/cctv6
CCTV7,http://m.061899.xyz/mg/cctv7
CCTV8,http://m.061899.xyz/mg/cctv8
CCTV9,http://m.061899.xyz/mg/cctv9
CCTV10,http://m.061899.xyz/mg/cctv10
CCTV11,http://m.061899.xyz/mg/cctv11
CCTV12,http://m.061899.xyz/mg/cctv12
CCTV14,http://120.76.248.139/live/bfgd/4200000132.m3u8
CCTV15,http://m.061899.xyz/mg/cctv15
CCTV15,http://120.76.248.139/live/bfgd/4200000133.m3u8
CCTV17,http://120.76.248.139/live/bfgd/4200000204.m3u8


地方,#genre#
浙江卫视,http://112.30.73.119:9901/tsfile/live/1032_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.84:5146
广东卫视,http://www.syy3.top:3861/udp/239.77.0.84:5146
广东卫视,http://lsa.familyds.com:8188/udp/239.77.0.84:5146
广东卫视,http://wmh.wmh.ink:6633/udp/239.77.0.84:5146
深圳卫视,http://nn.7x9d.cn/深圳最新.php?id=szws4k
广东珠江,https://2.fast.hidns.vip/163189/gdzj
广东珠江,https://gx.484947.xyz/PLTV/77777777/224/3221225717/index.m3u8
广东珠江,http://lsa.familyds.com:8188/udp/239.77.0.1:5146
广东体育,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.112:5146
广州综合,http://r.jdshipin.com/iR6Gq
五星体育,https://cdn15.163189.xyz/163189/wxty
海峡卫视,https://168.sryze.cc/163189/hxws


体育,#genre#


新闻,#genre#
中天新聞,http://111.0.115.129:8081/live/222ztxw.m3u8
BBCNews,https://vs-hls-push-ww-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_news_channel_hd/t=3840/v=pv14/b=5070016/main.m3u8
HOY国际财经台,https://cdn11.163189.xyz/163189/hoy76


电影,#genre#


港澳台,#genre#
HOYTV,https://cdn6.cc.cd/163189/hoy
澳门莲花,http://anren.live/HK/BiIOU11uLA.m3u8?zgangd
香港C+,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/index.m3u8
香港32台,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream2/streamPlaylist.m3u8
香港34台,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8
TVB亚洲武侠,http://php.jdshipin.com/TVOD/iptv.php?id=yzwx
华视新闻,https://d2jc41c1shgcol.cloudfront.net/live/ctsnewsqt/playlist.m3u8
中视新闻,http://4gtv.cnlive.club/channel/7e6461d6/index.m3u8?q=1782639885837
中视新闻,https://d2jc41c1shgcol.cloudfront.net/live/ctvnewsqt/playlist.m3u8
TVB翡翠台,http://111.221.137.234:44330/tsfile/live/0141_1.m3u8?key=txiptv&playlive=0&authid=0
TVB翡翠台,http://111.221.137.203:4455/tsfile/live/1008_1.m3u8
